,FF-runtime,FF-maxflow
1,0.0,1.0
10,0.0010085105895996094,67.0
100,141.8333179950714,9857.0
11,0.0009996891021728516,87.0
12,0.0010073184967041016,114.0
13,0.004000663757324219,88.0
14,0.004000663757324219,172.0
15,0.003999471664428711,195.0
16,0.012999773025512695,194.0
17,0.024999618530273438,315.0
18,0.03199934959411621,360.0
19,0.034998416900634766,336.0
2,0.0,1.0
20,0.06800007820129395,369.0
21,0.0680088996887207,482.0
22,0.08706092834472656,463.0
23,0.1150205135345459,612.0
24,0.13000750541687012,601.0
25,0.16099143028259277,604.0
26,0.21404170989990234,733.0
27,0.19000864028930664,653.0
28,0.20397067070007324,724.0
29,0.35600709915161133,820.0
3,0.0,5.0
30,0.3440837860107422,832.0
31,0.42789745330810547,913.0
32,0.46599364280700684,1043.0
33,0.5009992122650146,1016.0
34,0.6799662113189697,1163.0
35,0.87099289894104,1196.0
36,0.8789973258972168,1257.0
37,0.8949892520904541,1143.0
38,1.736973524093628,1558.0
39,1.296996831893921,1444.0
4,0.0009996891021728516,6.0
40,1.1429977416992188,1409.0
41,1.751067876815796,1667.0
42,1.9769964218139648,1752.0
43,2.120995283126831,1806.0
44,2.689002752304077,1969.0
45,2.125065326690674,1813.0
46,2.372044801712036,1936.0
47,3.417003870010376,2182.0
48,3.0629866123199463,2004.0
49,4.172066926956177,2198.0
5,0.0,8.0
50,4.896056652069092,2438.0
51,4.640908241271973,2497.0
52,5.068068027496338,2686.0
53,5.761493444442749,2571.0
54,5.581188440322876,2306.0
55,6.938541412353516,2869.0
56,6.452869892120361,2842.0
57,8.797977685928345,3174.0
58,8.98255443572998,3275.0
59,9.103050470352173,3056.0
6,0.0,25.0
60,10.834946155548096,3409.0
61,12.07634687423706,3815.0
62,12.809058666229248,3789.0
63,13.603154420852661,3807.0
64,12.98096752166748,3807.0
65,16.617077827453613,4082.0
66,17.212178945541382,3782.0
67,19.745866298675537,4278.0
68,22.011965036392212,4529.0
69,19.52395534515381,4727.0
7,0.0,28.0
70,24.954275846481323,4931.0
71,24.333415269851685,4773.0
72,26.53427791595459,4968.0
73,28.0419442653656,5224.0
74,36.12220358848572,5616.0
75,36.67293882369995,5362.0
76,33.9028263092041,5576.0
77,36.92892932891846,5818.0
78,43.22164344787598,6163.0
79,42.94266438484192,6283.0
8,0.0,47.0
80,43.119927167892456,6188.0
81,52.84507489204407,6759.0
82,48.187549352645874,6673.0
83,52.31804394721985,6216.0
84,57.95842146873474,6783.0
85,55.987446308135986,6607.0
86,73.60765290260315,7027.0
87,58.22199273109436,6660.0
88,60.550798416137695,6914.0
89,78.92893362045288,8173.0
9,0.0010118484497070312,71.0
90,86.04880428314209,8020.0
91,81.83610129356384,8390.0
92,83.18956208229065,8179.0
93,118.38508915901184,9013.0
94,82.12743902206421,7514.0
95,116.8083975315094,9065.0
96,112.08554553985596,8951.0
97,101.9825222492218,8052.0
98,131.45202898979187,9002.0
99,127.85091280937195,9264.0
